"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"251","Clyde Edwards-Helaire","KC","rb","10","@DEN","1.5","0","0","0","0","0","0","1.0405","3.9642","0.032","0.5976","0.495","3.3793","0.0199","0.0194","0.0091","0.0031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"252","Isaiah Williams","NYJ","wr","9","@NE","3.2","0","0","0","0","0","0","0","0","0","2.1103","1.4867","11.7378","0.0915","0","0","0.0055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"253","Jamari Thrash","CLV","wr","9","BLT","3.2","0","0","0","0","0","0","0","0","0","2.2969","1.3969","13.9735","0.0721","0","0","0.0044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"254","Ross Dwelley","DET","te","8","@PHI","2.7","0","0","0","0","0","0","0","0","0","1.5503","1.1689","10.5686","0.0791","0","0","0.0048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"255","Kaleb Johnson","PIT","rb","5","CIN","1.4","0","0","0","0","0","0","1.4738","6.7576","0.0367","0.3161","0.2552","1.8296","0.01","0.0227","0.0103","0.0027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"256","Van Jefferson","TEN","wr","10","HST","3.1","0","0","0","0","0","0","0","0","0","2.1949","1.2332","14.309","0.0716","0","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"257","Tyquan Thornton","KC","wr","10","@DEN","3.1","0","0","0","0","0","0","0","0","0","1.7554","1.0147","15.0607","0.1009","0","0","0.0046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"258","JuJu Smith-Schuster","KC","wr","10","@DEN","3","0","0","0","0","0","0","0","0","0","1.8552","1.4061","11.481","0.0784","0","0","0.0049","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"259","Elijah Moore","BUF","wr","7","TB","3","0","0","0","0","0","0","0.9903","6.1354","0.058","1.2722","0.7972","9.4142","0.0495","0.0252","0.0124","0.0057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"260","Cam Ward","TEN","qb","10","HST","11.4","19.341","30.3348","181.1682","0.8036","0.6151","3.5706","3.0665","9.1915","0.0897","0","0","0","0","0","0","0.0565","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"261","Dont'e Thornton Jr.","LV","wr","8","DAL","2.9","0","0","0","0","0","0","0","0","0","1.9269","1.0883","13.2664","0.0856","0","0","0.0047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"262","Luke Schoonmaker","DAL","te","10","@LV","2.4","0","0","0","0","0","0","0","0","0","1.3604","1.0198","9.2032","0.0761","0","0","0.0038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"263","Colby Parkinson","LA","te","8","SEA","2.3","0","0","0","0","0","0","0","0","0","1.2365","1.0255","8.3406","0.067","0","0","0.0031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"264","Tommy Tremble","CAR","te","14","@ATL","2.3","0","0","0","0","0","0","0","0","0","1.3647","1.0025","8.4522","0.0732","0","0","0.0034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"265","Dare Ogunbowale","HST","rb","6","@TEN","1","0","0","0","0","0","0","0.8016","3.508","0.0192","0.3332","0.2593","1.8096","0.0084","0.0136","0.0063","0.0014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"266","Hunter Luepke","DAL","rb","10","@LV","1","0","0","0","0","0","0","0.8742","3.6538","0.0299","0.2864","0.2328","1.6129","0.0107","0.0143","0.0066","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"267","Tim Patrick","JAX","wr","8","LAC","2.7","0","0","0","0","0","0","0","0","0","1.6635","1.0427","12.1293","0.0785","0","0","0.0039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"268","Jahan Dotson","PHI","wr","9","DET","2.7","0","0","0","0","0","0","0","0","0","1.6599","0.9817","12.199","0.0817","0","0","0.0057","17.1188","0.0147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"269","David Sills V","ATL","wr","5","CAR","2.6","0","0","0","0","0","0","0","0","0","1.6027","0.9646","12.5988","0.0667","0","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"270","John Bates","WAS","te","12","@MIA","2.1","0","0","0","0","0","0","0","0","0","1.1007","0.9602","8.3009","0.058","0","0","0.0036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"271","Alec Ingold","MIA","rb","12","WAS","0.7","0","0","0","0","0","0","0.1355","0.5603","0.0041","0.3591","0.2877","2.2489","0.0114","0.0049","0.0025","0.0013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"272","Trevor Etienne","CAR","rb","14","@ATL","0.7","0","0","0","0","0","0","0.0244","0.1058","0.0007","0.4652","0.3718","2.315","0.0132","0.0043","0.0024","0.0012","54.7505","0.0257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"273","Jeremy Ruckert","NYJ","te","9","@NE","1.9","0","0","0","0","0","0","0","0","0","1.1191","0.7948","8.0806","0.0552","0","0","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"274","Hayden Rucci","MIA","te","12","WAS","1.9","0","0","0","0","0","0","0","0","0","0.9793","0.7237","7.7075","0.0647","0","0","0.0029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"275","Adam Prentice","DEN","rb","12","KC","0.6","0","0","0","0","0","0","0.525","2.1786","0.0136","0.1793","0.1423","0.9516","0.0047","0.0086","0.004","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"276","Drew Sample","CIN","te","10","@PIT","1.8","0","0","0","0","0","0","0","0","0","1.0434","0.8382","6.7291","0.0461","0","0","0.0023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"277","Roschon Johnson","CHI","rb","5","@MIN","0.5","0","0","0","0","0","0","0.3719","1.5112","0.0132","0.1615","0.1312","0.8722","0.0037","0.0064","0.003","0.0008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"278","Tyrell Shavers","BUF","wr","7","TB","2.2","0","0","0","0","0","0","0","0","0","1.261","0.8284","10.1516","0.0561","0","0","0.0044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"279","Grant Calcaterra","PHI","te","9","DET","1.7","0","0","0","0","0","0","0","0","0","0.9307","0.7074","6.6766","0.0461","0","0","0.0032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"280","British Brooks","HST","rb","6","@TEN","0.4","0","0","0","0","0","0","0.2672","1.1657","0.0077","0.1666","0.1307","0.9051","0.0043","0.005","0.0024","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"281","Jaylen Wright","MIA","rb","12","WAS","0.4","0","0","0","0","0","0","0.2258","0.976","0.006","0.1632","0.134","0.996","0.0062","0.0045","0.0021","0.0008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"282","Adam Trautman","DEN","te","12","KC","1.6","0","0","0","0","0","0","0","0","0","0.981","0.6793","6.1712","0.0571","0","0","0.0024","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"283","Mitchell Evans","CAR","te","14","@ATL","1.6","0","0","0","0","0","0","0","0","0","0.9304","0.6858","5.7965","0.0568","0","0","0.0023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"284","Curtis Samuel","BUF","wr","7","TB","2","0","0","0","0","0","0","0","0","0","1.1886","0.8165","8.0625","0.0632","0","0","0.0041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"285","Jalen Tolbert","DAL","wr","10","@LV","2","0","0","0","0","0","0","0","0","0","1.1098","0.7094","8.5922","0.065","0","0","0.0031","8.6756","0.0022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"286","Julius Chestnut","TEN","rb","10","HST","0.2","0","0","0","0","0","0","0.2209","0.8402","0.0056","0.0305","0.0236","0.1508","0.0006","0.0032","0.0015","0.0002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"287","Jordan Watkins","SF","wr","14","@ARZ","1.9","0","0","0","0","0","0","0","0","0","1.0631","0.6772","8.8576","0.0499","0","0","0.0028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"288","Devontez Walker","BLT","wr","7","@CLV","1.9","0","0","0","0","0","0","0","0","0","1.0037","0.6258","8.9085","0.0702","0","0","0.0038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"289","Kameron Johnson","TB","wr","9","@BUF","1.9","0","0","0","0","0","0","0","0","0","1.1209","0.7197","8.5767","0.0587","0","0","0.0033","66.1215","0.0272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"290","Patrick Ricard","BLT","rb","7","@CLV","0.1","0","0","0","0","0","0","0.077","0.3017","0.0024","0.0257","0.021","0.1556","0.001","0.0013","0.0006","0.0002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"291","John Metchie III","NYJ","wr","9","@NE","1.8","0","0","0","0","0","0","0","0","0","1.0738","0.7424","7.2926","0.0464","0","0","0.0028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"292","Jake Tonges","SF","te","14","@ARZ","1.3","0","0","0","0","0","0","0","0","0","0.6733","0.5193","4.986","0.0455","0","0","0.0018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"293","Ben Sinnott","WAS","te","12","@MIA","1.3","0","0","0","0","0","0","0","0","0","0.7106","0.532","5.2056","0.045","0","0","0.0023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"294","Kene Nwangwu","NYJ","rb","9","@NE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52.4413","0.0261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"295","George Holani","SEA","rb","8","@LA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.0561","0.0069","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"296","Isaac Guerendo","SF","rb","14","@ARZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.2451","0.0105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"297","Jacob Saylors","DET","rb","8","@PHI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.956","0.0087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"298","Dylan Laube","LV","rb","8","DAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.975","0.0117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"299","Rasheen Ali","BLT","rb","7","@CLV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.1094","0.0077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"300","Xavier Smith","LA","wr","8","SEA","1.6","0","0","0","0","0","0","0","0","0","0.9403","0.6008","7.3416","0.0395","0","0","0.0024","58.8259","0.0246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"301","Josh Oliver","MIN","te","6","CHI","1.1","0","0","0","0","0","0","0","0","0","0.6208","0.4546","4.284","0.0369","0","0","0.0015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"302","Cade Stover","HST","te","6","@TEN","1","0","0","0","0","0","0","0","0","0","0.6331","0.4653","4.1779","0.0263","0","0","0.0014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"303","Josh Whyle","GB","te","5","@NYG","0.9","0","0","0","0","0","0","0","0","0","0.5067","0.3719","3.6003","0.0289","0","0","0.0017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"304","Adam Thielen","MIN","wr","6","CHI","1.3","0","0","0","0","0","0","0","0","0","0.807","0.5485","5.8948","0.033","0","0","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"305","Demarcus Robinson","SF","wr","14","@ARZ","1.3","0","0","0","0","0","0","0","0","0","0.7088","0.4339","5.9926","0.0409","0","0","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"306","Austin Trammell","JAX","wr","8","LAC","1.3","0","0","0","0","0","0","0","0","0","0.8502","0.5167","5.9737","0.0345","0","0","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"307","Skyy Moore","SF","wr","14","@ARZ","1.3","0","0","0","0","0","0","0","0","0","0.7442","0.4952","6.0384","0.0337","0","0","0.002","47.2203","0.0218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"308","Konata Mumpfield","LA","wr","8","SEA","1.3","0","0","0","0","0","0","0","0","0","0.7522","0.4888","5.5255","0.0352","0","0","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"309","Marcedes Lewis","DEN","te","12","KC","0.8","0","0","0","0","0","0","0","0","0","0.4661","0.3384","3.0463","0.0267","0","0","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"310","Brevyn Spann-Ford","DAL","te","10","@LV","0.8","0","0","0","0","0","0","0","0","0","0.4296","0.3223","2.9464","0.024","0","0","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"311","Tahj Washington","MIA","wr","12","WAS","1.2","0","0","0","0","0","0","0","0","0","0.6528","0.4038","5.5591","0.0375","0","0","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"312","Chris Manhertz","NYG","te","14","GB","0.7","0","0","0","0","0","0","0","0","0","0.4006","0.2914","2.7221","0.0212","0","0","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"313","Luke Farrell","SF","te","14","@ARZ","0.7","0","0","0","0","0","0","0","0","0","0.3544","0.288","2.6313","0.0204","0","0","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"314","Andre Baccellia","ARZ","wr","8","SF","1.1","0","0","0","0","0","0","0","0","0","0.7073","0.4411","5.1809","0.0299","0","0","0.0017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"315","Savion Williams","GB","wr","5","@NYG","1.1","0","0","0","0","0","0","0.4453","2.6359","0.0206","0.4434","0.3314","2.9021","0.0222","0.0096","0.0046","0.002","40.9787","0.0105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"316","Charlie Kolar","BLT","te","7","@CLV","0.6","0","0","0","0","0","0","0","0","0","0.2831","0.2145","2.2052","0.0224","0","0","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"317","Ben Skowronek","PIT","wr","5","CIN","1","0","0","0","0","0","0","0","0","0","0.569","0.3809","4.3064","0.0301","0","0","0.0016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"318","Kylen Granson","PHI","te","9","DET","0.5","0","0","0","0","0","0","0","0","0","0.282","0.2019","2.0008","0.014","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"319","David Martin-Robinson","TEN","te","10","HST","0.5","0","0","0","0","0","0","0","0","0","0.3048","0.2174","1.839","0.0123","0","0","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"320","Cody White","SEA","wr","8","@LA","0.8","0","0","0","0","0","0","0","0","0","0.4621","0.2978","3.8612","0.0238","0","0","0.0014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"321","Ian Thomas","LV","te","8","DAL","0.3","0","0","0","0","0","0","0","0","0","0.1661","0.1287","1.1823","0.0088","0","0","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"322","Charlie Woerner","ATL","te","5","CAR","0.3","0","0","0","0","0","0","0","0","0","0.167","0.1231","1.1302","0.0081","0","0","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"323","Tucker Fisk","LAC","te","12","@JAX","0.3","0","0","0","0","0","0","0","0","0","0.1825","0.1382","1.2355","0.0096","0","0","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"324","Blake Whiteheart","CLV","te","9","BLT","0.3","0","0","0","0","0","0","0","0","0","0.1714","0.1161","0.9882","0.0072","0","0","0.0003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"325","Benjamin Yurosek","MIN","te","6","CHI","0.3","0","0","0","0","0","0","0","0","0","0.1552","0.1116","1.016","0.0069","0","0","0.0004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"326","D'Wayne Eskridge","MIA","wr","12","WAS","0.6","0","0","0","0","0","0","0","0","0","0.3264","0.2124","2.6199","0.0178","0","0","0.001","43.2966","0.0111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"327","Cedrick Wilson Jr.","MIA","wr","12","WAS","0.6","0","0","0","0","0","0","0","0","0","0.3264","0.221","2.6354","0.0186","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"328","Malik Heath","GB","wr","5","@NYG","0.6","0","0","0","0","0","0","0","0","0","0.3167","0.2185","2.3689","0.0168","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"329","Devin Duvernay","CHI","wr","5","@MIN","0.5","0","0","0","0","0","0","0","0","0","0.3229","0.2071","2.333","0.0147","0","0","0.0008","75.7207","0.0295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"330","Jamal Agnew","ATL","wr","5","CAR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.8786","0.0243","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"331","Charlie Jones","CIN","wr","10","@PIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.6754","0.0253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"332","Bo Melton","GB","wr","5","@NYG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.9138","0.0079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"333","Derius Davis","LAC","wr","12","@JAX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.2836","0.0259","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"334","Nikko Remigio","KC","wr","10","@DEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.2211","0.0255","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"335","Myles Price","MIN","wr","6","CHI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67.542","0.027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"336","Ke'Shawn Williams","PIT","wr","5","CIN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.6793","0.0078","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"337","LaJohntay Wester","BLT","wr","7","@CLV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.4986","0.0159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
