"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"190","Jackson Hawes","BUF","te","7","TB","5.2","0","0","0","0","0","0","0","0","0","3.0767","2.0869","19.3798","0.1981","0","0","0.0107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"191","Terrell Jennings","NE","rb","14","NYJ","3.9","0","0","0","0","0","0","3.7429","16.2967","0.1058","0.9864","0.8054","5.9976","0.0344","0.0593","0.0271","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"192","Kyle Williams","NE","wr","14","NYJ","5.6","0","0","0","0","0","0","0","0","0","3.1802","1.9079","26.4642","0.1694","0","0","0.0096","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"193","Tyler Johnson","NYJ","wr","9","@NE","5.5","0","0","0","0","0","0","0","0","0","3.3686","2.1858","23.5082","0.1588","0","0","0.0087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"194","Jalen Nailor","MIN","wr","6","CHI","5.5","0","0","0","0","0","0","0.1101","0.6584","0.0039","3.1849","1.8539","25.9894","0.1616","0.0253","0.0138","0.0081","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"195","Ja'Tavion Sanders","CAR","te","14","@ATL","4.9","0","0","0","0","0","0","0","0","0","3.066","2.3022","17.1379","0.1508","0","0","0.0076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"196","Ty Johnson","BUF","rb","7","TB","3.6","0","0","0","0","0","0","2.2152","9.8276","0.076","1.3938","1.172","6.4849","0.0523","0.0391","0.0182","0.0078","33.7503","0.0086","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"197","Christian Kirk","HST","wr","6","@TEN","5.3","0","0","0","0","0","0","0","0","0","3.5892","2.1477","23.4737","0.127","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"198","Ray Davis","BUF","rb","7","TB","3.5","0","0","0","0","0","0","3.2576","13.8467","0.1056","0.8827","0.7125","5.1727","0.0384","0.0517","0.0236","0.0074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"199","Jaydon Blue","DAL","rb","10","@LV","3.5","0","0","0","0","0","0","5.3178","21.655","0.1561","0.2506","0.2061","1.4113","0.0076","0.0741","0.0329","0.0077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200","Isaiah Hodgins","NYG","wr","14","GB","5.2","0","0","0","0","0","0","0","0","0","3.0954","2.1045","22.4274","0.1454","0","0","0.0072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201","Jaylin Noel","HST","wr","6","@TEN","5.2","0","0","0","0","0","0","0.8016","4.539","0.0453","2.799","1.8261","19.9972","0.1049","0.0305","0.0156","0.0069","52.0492","0.026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202","Darnell Washington","PIT","te","5","CIN","4.7","0","0","0","0","0","0","0","0","0","2.6214","1.916","17.7286","0.1663","0","0","0.0076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"203","Jaleel McLaughlin","DEN","rb","12","KC","3.4","0","0","0","0","0","0","2.428","10.482","0.0654","1.2191","1.0506","6.2141","0.041","0.0442","0.0207","0.0062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"204","Pat Bryant","DEN","wr","12","KC","5.1","0","0","0","0","0","0","0","0","0","3.1195","1.9522","22.3506","0.1503","0","0","0.0077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
